invoice_id,customer_id,due_date_id,payment_date_id,total_amount,paid_amount,invoice_status
1,2108,20220119,,69.79,0.0,Overdue
2,4967,20100712,20100712.0,243.76,243.76,Paid
3,741,20210520,20210517.0,383.47,383.47,Paid
4,2041,20091202,,331.49,0.0,Overdue
5,4099,20210520,,152.42,0.0,Overdue
6,1446,20250429,20250428.0,107.8,107.8,Paid
7,3471,20210630,,432.01,0.0,Overdue
8,1252,20210212,20210207.0,358.26,358.26,Paid
9,3563,20180530,20180528.0,311.92,311.92,Paid
10,75,20250406,20250403.0,176.4,176.4,Paid
11,1559,20250605,20250604.0,252.1,252.1,Paid
12,4124,20120524,20120521.0,214.62,214.62,Paid
13,4073,20170628,20170626.0,327.89,327.89,Paid
14,185,19970405,19970403.0,285.81,285.81,Paid
15,3389,20230306,,36.4,0.0,Overdue
16,4151,20230619,20230614.0,223.72,223.72,Paid
17,2311,20200129,20200124.0,272.05,272.05,Paid
18,902,20241217,20241212.0,381.16,381.16,Paid
19,2723,20171114,,195.02,0.0,Overdue
20,3715,20170907,20170907.0,253.45,253.45,Paid
21,2635,20221216,20221216.0,67.47,67.47,Paid
22,1633,20250123,,341.46,0.0,Overdue
23,2793,20121014,20121011.0,243.72,243.72,Paid
24,2046,20250510,20250506.0,375.66,375.66,Paid
25,617,20170711,20170707.0,344.21,344.21,Paid
26,4486,20030814,20030814.0,420.78,420.78,Paid
27,1246,20241023,,278.67,0.0,Overdue
28,3298,20010428,20010425.0,99.93,99.93,Paid
29,1484,20250521,20250518.0,284.75,284.75,Paid
30,4867,20050220,,80.98,0.0,Overdue
31,4087,20250514,20250509.0,116.89,116.89,Paid
32,4788,20220522,,380.24,0.0,Overdue
33,4686,20160507,20160507.0,70.02,70.02,Paid
34,3583,20150916,,381.47,0.0,Overdue
35,3986,20241218,20241213.0,172.54,172.54,Paid
36,4889,20250127,20250127.0,395.24,395.24,Paid
37,4240,20210927,20210922.0,343.67,343.67,Paid
38,1713,20250209,20250209.0,371.36,371.36,Paid
