ticket_id,customer_id,open_date_id,support_channel,contact_reason,ticket_status
1,1699,20051121,Website,Plan change,Resolved
2,3420,20220224,Store,Invoice question,Resolved
3,2749,19951220,Phone,Complaint,In Progress
4,4025,20180923,App,Cancellation request,Resolved
5,2281,19900517,Phone,Plan change,Pending
6,1269,20141106,Phone,Information,Pending
7,4425,20170613,Website,Technical issue,In Progress
8,2424,20240528,Store,Complaint,In Progress
9,2270,19940630,Phone,Plan change,In Progress
10,1153,20180827,App,Invoice question,Pending
11,3695,20250205,Phone,Technical issue,Resolved
12,1592,20040914,App,Plan change,In Progress
13,87,20230801,Website,Invoice question,Resolved
14,3334,19820314,Phone,Cancellation request,In Progress
15,1199,20230920,Social Media,Cancellation request,Pending
16,3517,20241205,Website,Complaint,Pending
17,3912,20180319,Website,Complaint,In Progress
18,243,20221018,App,Complaint,In Progress
19,3493,20191022,Phone,Complaint,Resolved
20,2707,20240810,Phone,Cancellation request,Pending
21,1664,20150119,Phone,Complaint,Resolved
22,505,20220523,App,Complaint,In Progress
23,4394,20220728,App,Complaint,Resolved
24,1023,20241126,Store,Complaint,Resolved
25,4878,20240126,Store,Invoice question,In Progress
26,659,20070423,App,Technical issue,Pending
27,1947,20250313,Social Media,Technical issue,Resolved
28,1130,19871005,Phone,Information,In Progress
29,265,20240612,Website,Complaint,Pending
30,4210,20141224,Social Media,Technical issue,Resolved
31,1138,20221217,App,Plan change,Resolved
32,3435,20250319,App,Cancellation request,Resolved
33,1838,20241218,App,Invoice question,In Progress
34,1458,20090610,Store,Cancellation request,Resolved
35,2236,20220421,Store,Complaint,In Progress
36,333,20240706,Social Media,Complaint,Pending
37,4126,20220107,Phone,Complaint,In Progress
38,3062,20131215,App,Plan change,Resolved
39,367,20100413,Website,Technical issue,Resolved
40,3156,20090227,Phone,Technical issue,Pending
41,979,20240423,Phone,Complaint,In Progress
42,16,20250111,Phone,Invoice question,Resolved
43,752,20241220,Phone,Cancellation request,In Progress
44,1022,20171021,Social Media,Plan change,Resolved
45,2170,20210720,Website,Plan change,Pending
46,1995,20240116,App,Invoice question,In Progress
47,1126,20241207,Store,Information,Pending
48,48,20160913,Website,Information,Resolved
49,4546,20250513,Phone,Complaint,In Progress
50,1119,20250605,Social Media,Cancellation request,Resolved
51,4613,20061003,Store,Plan change,Pending
52,2096,20010531,Website,Cancellation request,Resolved
53,388,20201020,Store,Invoice question,In Progress
54,3027,20000715,Social Media,Technical issue,Resolved
55,2003,20230918,Social Media,Invoice question,In Progress
56,1839,20250301,Website,Cancellation request,Pending
57,3526,20220225,Social Media,Plan change,Pending
58,1720,20250516,Website,Cancellation request,In Progress
59,4624,20130303,Website,Complaint,Resolved
60,4198,20241003,Phone,Complaint,Pending
61,3199,20201109,App,Information,Resolved
62,62,20231104,Store,Technical issue,Resolved
63,3601,20181008,Social Media,Complaint,Pending
64,1368,20130422,Phone,Cancellation request,Resolved
65,1321,20191004,Phone,Information,In Progress
66,3538,20240620,Phone,Technical issue,Resolved
67,797,20210716,Website,Technical issue,In Progress
68,4300,20250114,Store,Plan change,Pending
69,4711,20190913,Phone,Technical issue,Resolved
70,562,20220714,Website,Technical issue,Pending
71,1222,20230919,Website,Invoice question,Resolved
72,3614,20200603,Store,Invoice question,Resolved
73,535,20250403,App,Technical issue,Resolved
74,3605,19801128,App,Plan change,Resolved
75,2317,20180208,Website,Technical issue,Resolved
76,2291,20170818,App,Invoice question,Pending
77,3755,20131012,Store,Invoice question,Resolved
78,2995,20181016,App,Plan change,In Progress
79,2094,20200307,Store,Plan change,Pending
80,10,20191022,Social Media,Cancellation request,Resolved
81,2229,20240429,Social Media,Technical issue,In Progress
82,2442,20250304,Store,Invoice question,Pending
83,502,20221224,Phone,Information,In Progress
84,3680,20010525,Phone,Information,Resolved
85,3740,20000722,Store,Invoice question,Resolved
86,1533,20240228,Website,Cancellation request,Resolved
87,2611,20210129,Store,Plan change,Resolved
88,1738,20071107,Website,Plan change,Pending
89,2215,20120502,App,Invoice question,Resolved
90,4316,20010529,Social Media,Plan change,In Progress
